offspring	mom	dad	mom.mm	dad.mm	year	off.age	return.year
MR11_083	MR07_094	MR07_073	0	0	2007	4	2011
MR11_084	MR07_191	MR07_543	0	0	2007	4	2011
MR11_085	UK	UK	mp	mp	mp	mp	2011
MR11_086	MR07_024	MR07_404	1	0	2007	4	2011
MR11_087	MR07_084	MR07_112	1	0	2007	4	2011
MR11_088	MR07_071	MR07_149	1	0	2007	4	2011
MR11_089	MR07_109	MR07_475	0	0	2007	4	2011
MR11_090	MR07_176	MR07_444	0	1	2007	4	2011
MR11_091	MR07_524	MR07_582	0	0	2007	4	2011
MR11_092	MR07_028	MR07_547	0	0	2007	4	2011
MR11_093	UK	UK	mp	mp	mp	mp	2011
MR11_094	MR07_021	UK	0	mp	2007	4	2011
MR11_095	MR07_800	UK	0	mp	2007	4	2011
MR11_096	MR07_041	MR07_182	1	0	2007	4	2011
MR11_097	MR07_170	MR07_220	0	0	2007	4	2011
MR11_098	UK	UK	mp	mp	mp	mp	2011
MR11_099	UK	UK	mp	mp	mp	mp	2011
MR11_100	MR07_243	MR07_129	0	0	2007	4	2011
MR11_101	MR07_016	MR07_266	0	0	2007	4	2011
MR11_102	MR07_025	MR07_525	1	1	2007	4	2011
MR11_103	UK	UK	mp	mp	mp	mp	2011
MR11_104	UK	MR07_280	2	1	2007	4	2011
MR11_105	MR07_024	MR07_404	1	1	2007	4	2011
MR11_106	MR07_493	MR07_475	0	0	2007	4	2011
MR11_107	MR07_213	MR07_250	1	0	2007	4	2011
MR11_108	MR07_493	MR07_475	0	0	2007	4	2011
MR11_109	MR07_488	MR07_074	0	1	2007	4	2011
MR11_110	MR07_203	MR07_008	0	0	2007	4	2011
MR11_111	UK	UK	mp	mp	mp	mp	2011
MR11_112	UK	UK	mp	mp	mp	mp	2011
MR11_113	UK	MR07_097	4	0	2007	4	2011
MR11_114	UK	UK	mp	2	mp	mp	2011
MR11_115	MR07_375	MR07_129	0	0	2007	4	2011
MR11_116	MR07_454	MR07_649	1	0	2007	4	2011
MR11_117	MR07_199	UK	1	mp	2007	4	2011
MR11_118	UK	UK	mp	mp	mp	mp	2011
MR11_119	MR07_116	MR07_512	0	0	2007	4	2011
MR11_120	UK	UK	mp	mp	mp	mp	2011
MR11_121	MR07_044	MR07_259	1	0	2007	4	2011
MR11_122	UK	UK	mp	mp	mp	mp	2011
MR11_123	MR07_079	MR07_237	0	0	2007	4	2011
MR11_124	UK	UK	mp	mp	mp	mp	2011
MR11_125	UK	UK	mp	mp	mp	mp	2011
MR11_126	MR07_526	MR07_421	0	1	2007	4	2011
MR11_128	MR07_261	MR07_404	0	0	2007	4	2011
MR11_129	MR07_426	MR07_106	1	0	2007	4	2011
MR11_130	MR07_050	UK	0	mp	2007	4	2011
MR11_131	MR07_016	MR07_223	0	0	2007	4	2011
MR11_132	MR07_811	MR07_572	1	0	2007	4	2011
MR11_133	UK	UK	mp	mp	mp	mp	2011
MR11_134	MR07_872	MR07_669	1	0	2007	4	2011
MR11_135	MR07_016	MR07_099	0	0	2007	4	2011
MR11_136	MR07_041	MR07_237	1	1	2007	4	2011
MR11_137	MR07_147	MR07_575	0	0	2007	4	2011
MR11_138	UK	UK	mp	mp	mp	mp	2011
MR11_139	UK	MR07_175	mp	1	2007	4	2011
MR11_140	MR07_147	MR07_010	0	0	2007	4	2011
MR11_141	UK	UK	mp	mp	mp	mp	2011
MR11_142	UK	MR07_875	mp	1	2007	4	2011
MR11_143	MR07_041	MR07_182	0	0	2007	4	2011
MR11_144	UK	UK	mp	mp	mp	mp	2011
MR11_145	UK	UK	mp	mp	mp	mp	2011
MR11_146	MR07_493	MR07_655	0	1	2007	4	2011
MR11_147	MR07_498	MR07_204	0	0	2007	4	2011
MR11_148	UK	UK	mp	mp	mp	mp	2011
MR11_149	UK	UK	mp	mp	mp	mp	2011
MR11_150	UK	UK	mp	mp	mp	mp	2011
MR11_151	MR07_152	MR07_739	0	1	2007	4	2011
MR11_152	MR07_456	UK	1	mp	2007	4	2011
MR11_153	UK	UK	mp	mp	mp	mp	2011
MR11_154	UK	UK	mp	mp	mp	mp	2011
MR11_155	MR07_098	UK	0	2	2007	4	2011
MR11_156	MR07_783	MR07_040	0	0	2007	4	2011
