Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0011,11,11,4,-3.87280261125598E+0000, 0.00000000000000E+0000,,11,5, 1.32475087666994E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0292,11,11,4,-2.53630545105895E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,5, 1.19971178941152E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4072,11,11,4,-4.20213125374884E+0000, 0.00000000000000E+0000,,11,5, 1.13170597505800E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16SFMK_1198,11,11,5,-9.81018295577478E+0000, 0.00000000000000E+0000,,11,5, 1.07165907293198E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15SFMK_0187,11,11,5,-1.02365157141591E+0001, 0.00000000000000E+0000,,11,5, 1.04365959090873E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14SFMK_0126,11,11,5,-9.27175497492606E+0000, 0.00000000000000E+0000,,11,5, 1.02653186672527E+0001, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4847,11,11,3,-1.14725101807978E+0000, 0.00000000000000E+0000,,11,5, 9.58989010830084E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16MCKR_0034,11,11,5,-1.12193866502966E+0001, 0.00000000000000E+0000,,11,5, 9.43057213398903E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0292,11,11,4,-2.53630545105895E+0000, 0.00000000000000E+0000,,OtsAC13SFMK_4697,11,11,2, 6.43583039227830E+0000, 0.00000000000000E+0000,,11,5, 9.10872564292985E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_4021,10,10,4,-3.29982523592825E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,5, 9.01429820831845E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0311,9,9,3,-1.15183978345292E+0000, 0.00000000000000E+0000,,11,5, 8.98177021843430E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16MCKR_0272,11,11,5,-1.10029823086747E+0001, 0.00000000000000E+0000,,11,5, 8.88075557890054E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16SFMK_1327,11,11,5,-1.17530271619612E+0001, 0.00000000000000E+0000,,11,5, 8.78067811502350E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0322,9,9,4,-6.06482768944751E+0000, 0.00000000000000E+0000,,11,5, 8.63530891335556E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16MCKR_0262,10,10,4,-7.40539826280605E+0000, 0.00000000000000E+0000,,11,5, 8.60803369351185E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16SFMK_1161,11,11,5,-1.15827267858739E+0001, 0.00000000000000E+0000,,11,5, 8.35188689423754E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14SFMK_0085,11,11,6,-1.13329836677036E+0001, 0.00000000000000E+0000,,11,6, 7.92478815868034E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0023,10,10,5,-1.16472661674398E+0001, 0.00000000000000E+0000,,11,5, 7.85317726142561E+0000, 0.00000000000000E+0000,,
