Pedigree Name	Individual Name	MotherID	FatherID	SubBasin	Stream	IndividualSampleLocation	DateSampled	Marks	Gender	LengthFork1	Eggs%	FieldID1	DNA	ScaleNumber	CommentsGeneral	Run	SpeciesID
OtsCC18MCKR	OtsCC18MCKR_4182			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Female	690	0 - 25%	4182	Y	30065		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4183			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	660		4183	Y	31573		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4184			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	670		4184	Y	30066		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4185			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	685		4185	Y	30067	Damaged Adipose/Partial Clip	Spring	17
OtsCC18MCKR	OtsCC18MCKR_4186			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	525		4186	Y	31522		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4187			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	615		4187	Y	30154		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4188			McKenzie	McKenzie	Forest Glen to Rosboro Bridge	10/2/2018	Unclipped	Male	690		4188	Y	30155		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4189			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	525		4189	Y	19330		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4190			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	595		4190	Y	30159		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4191			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	515		4191	Y	30069		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4192			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	580		4192	Y	30063		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4193			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	520		4193	Y	31524		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4194			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	615		4194	Y	5677		Spring	17
OtsCC18MCKR	OtsCC18MCKR_4195			McKenzie	McKenzie	Rosboro Bridge to Ben & Kay	10/2/2018	Unclipped	Male	670		4195	Y	19329		Spring	17
